Google service,Service description,Service ID,SKU ID,SKU description,Consumption model description,Product taxonomy,Unit description,Per unit quantity,Tiered usage start,List price ($),
GCP,Cloud Storage,95FF-2EF5-5EA1,22EB-AAE8-FBCD,Download Worldwide Destinations (excluding Asia & Australia),Default,GCP > Network > Egress > GCS > Premium,gibibyte,1,0,0.00,
GCP,Cloud Storage,95FF-2EF5-5EA1,22EB-AAE8-FBCD,Download Worldwide Destinations (excluding Asia & Australia),Default,GCP > Network > Egress > GCS > Premium,gibibyte,1,100,0.12,
GCP,Cloud Storage,95FF-2EF5-5EA1,22EB-AAE8-FBCD,Download Worldwide Destinations (excluding Asia & Australia),Default,GCP > Network > Egress > GCS > Premium,gibibyte,1,1024,0.11,
GCP,Cloud Storage,95FF-2EF5-5EA1,22EB-AAE8-FBCD,Download Worldwide Destinations (excluding Asia & Australia),Default,GCP > Network > Egress > GCS > Premium,gibibyte,1,10240,0.08,
GCP,Cloud Storage,95FF-2EF5-5EA1,4DBF-185F-A415,Regional Standard Class A Operations,Default,GCP > Storage > GCS > Ops > Standard > Regional and Dual-Regional,count,1000,0,0.00,
GCP,Cloud Storage,95FF-2EF5-5EA1,4DBF-185F-A415,Regional Standard Class A Operations,Default,GCP > Storage > GCS > Ops > Standard > Regional and Dual-Regional,count,1000,5000,0.005,
GCP,Cloud Storage,95FF-2EF5-5EA1,7870-010B-2763,Regional Standard Class B Operations,Default,GCP > Storage > GCS > Ops > Standard > Regional and Dual-Regional,count,1000,0,0.00,
GCP,Cloud Storage,95FF-2EF5-5EA1,7870-010B-2763,Regional Standard Class B Operations,Default,GCP > Storage > GCS > Ops > Standard > Regional and Dual-Regional,count,1000,50000,0.0004,
GCP,Cloud Storage,95FF-2EF5-5EA1,8878-37D4-D2AC,Network Data Transfer GCP Inter Region within Northern America,Default,GCP > Network > Egress > GCS > Inter-region,gibibyte,1,0,0.00,
GCP,Cloud Storage,95FF-2EF5-5EA1,8878-37D4-D2AC,Network Data Transfer GCP Inter Region within Northern America,Default,GCP > Network > Egress > GCS > Inter-region,gibibyte,1,100,0.02,
